날짜,종가,시가,고가,저가,거래량,변동 %,일간수익률,누적수익률,5일이동평균,20일이동평균,60일이동평균,연환산변동성,고점,낙폭
2002-11-26,913.3,932.9,932.9,912.1,,-2.1,-0.021009754528888425,-0.37238867509620477,924.9200000000001,904.9950000000001,874.3033333333333,0.2581227095050961,1527.5,-0.4020949263502456
2002-11-27,938.9,913.3,940.4,913.3,,2.8,0.02803022008102496,-0.3547965915338077,929.8799999999999,907.405,875.0616666666666,0.259123832294076,1527.5,-0.3853355155482815
2002-11-29,936.3,938.9,941.8,935.6,,-0.28,-0.002769197997656847,-0.35658328752061363,930.3799999999999,909.93,876.015,0.25889861675239173,1527.5,-0.38703764320785605
2002-12-02,934.5,936.3,954.3,927.7,,-0.19,-0.001922460749759658,-0.3578202308960946,931.18,911.6049999999999,876.6916666666667,0.2589017426500015,1527.5,-0.38821603927986903
2002-12-03,920.8,934.5,934.5,918.7,,-1.47,-0.014660246120920317,-0.36723474436503367,928.76,912.2249999999998,876.9883333333332,0.259164579400319,1527.5,-0.39718494271685767
2002-12-04,917.6,920.8,925.2,909.5,,-0.35,-0.0034752389226758718,-0.36943375481033325,929.6200000000001,912.335,877.1216666666667,0.2588048953797197,1527.5,-0.3992798690671031
2002-12-05,906.5,917.6,921.5,905.9,,-1.21,-0.012096774193548376,-0.3770615722924663,923.14,911.47,877.0716666666667,0.25801663686731785,1527.5,-0.4065466448445172
2002-12-06,912.2,906.5,915.5,896.0,,0.63,0.006287920573634809,-0.3731445849367764,918.32,911.95,877.4933333333333,0.25810933503561423,1527.5,-0.4028150572831424
2002-12-09,892.0,912.2,912.2,892.0,,-2.21,-0.022144266608200014,-0.3870258383727303,909.82,911.8149999999999,877.53,0.2589015391370987,1527.5,-0.4160392798690671
2002-12-10,904.5,892.0,905.0,892.0,,1.4,0.014013452914798163,-0.37843595382077866,906.5600000000001,913.2300000000001,877.7533333333333,0.2588909773340286,1527.5,-0.40785597381342065
2002-12-11,905.0,904.5,909.9,896.5,,0.06,0.0005527915975678255,-0.3780923584387005,904.04,914.3300000000002,878.2783333333333,0.2588871152759063,1527.5,-0.4075286415711947
2002-12-12,901.6,905.0,908.4,897.0,,-0.38,-0.003756906077348021,-0.38042880703683135,903.0600000000001,915.2850000000001,878.8133333333333,0.25890217733505755,1527.5,-0.40975450081833054
2002-12-13,889.5,901.6,901.6,888.5,,-1.34,-0.013420585625554593,-0.3887438152831205,898.5200000000001,914.5449999999998,879.5833333333334,0.2587881034268953,1527.5,-0.41767594108019634
2002-12-16,910.4,889.5,910.4,889.5,,2.35,0.023496346261944856,-0.37438152831225735,902.2,914.575,880.6666666666666,0.25989342100726565,1527.5,-0.40399345335515546
2002-12-17,903.0,910.4,911.2,901.7,,-0.81,-0.008128295254833051,-0.37946673996701275,901.9,914.7050000000002,881.8216666666666,0.2597737601488564,1527.5,-0.4088379705400982
2002-12-18,891.1,903.0,903.0,887.8,,-1.32,-0.01317829457364339,-0.38764431006047073,899.1200000000001,914.425,883.0183333333333,0.25993585733453023,1527.5,-0.4166284779050736
2002-12-19,884.2,890.0,899.2,880.3,,-0.77,-0.007743238693749266,-0.39238592633314806,895.64,912.93,883.76,0.25993897920469594,1527.5,-0.4211456628477904
2002-12-20,895.8,884.2,897.8,884.2,,1.31,0.013119203800045165,-0.38441451346893696,896.9,911.03,884.4399999999999,0.2602057805569761,1527.5,-0.41355155482815065
2002-12-23,897.4,895.7,902.4,892.3,,0.18,0.0017861129716454371,-0.38331500824628717,894.3,909.375,885.6066666666667,0.2601665100224479,1527.5,-0.4125040916530278
2002-12-24,892.5,897.4,897.4,892.3,,-0.55,-0.005460218408736339,-0.38668224299065224,892.2,907.3550000000001,886.8933333333333,0.26020677290501937,1527.5,-0.41571194762684127
2002-12-26,889.7,892.5,903.9,887.5,,-0.31,-0.0031372549019607066,-0.38860637713028934,891.9200000000001,906.175,887.5899999999999,0.26016897188994664,1527.5,-0.417545008183306
2002-12-27,875.4,889.7,890.5,873.6,,-1.61,-0.01607283353939537,-0.39843320505772206,890.1600000000001,903.0,888.3816666666665,0.2604990986795331,1527.5,-0.4269067103109656
2002-12-30,879.4,875.4,882.1,870.2,,0.46,0.004569339730408961,-0.39568444200109754,886.8799999999999,900.1550000000001,889.3883333333332,0.2605219247969164,1527.5,-0.4242880523731588
2002-12-31,879.8,879.4,881.9,869.5,,0.05,0.00045485558335234266,-0.39540956569543506,883.36,897.4200000000001,890.7083333333334,0.26032649538726543,1527.5,-0.4240261865793781
2003-01-02,909.0,879.8,909.0,879.8,,3.32,0.033189361218458835,-0.37534359538207596,886.6600000000001,896.8300000000002,892.7700000000001,0.2624698940633102,1527.5,-0.4049099836333879
2003-01-03,908.6,909.0,911.2,903.1,,-0.04,-0.00044004400440045277,-0.37561847168773843,890.4399999999999,896.3799999999999,894.605,0.2622783894679126,1527.5,-0.40517184942716855
2003-01-06,929.0,908.6,931.8,908.6,,2.25,0.022452124147039454,-0.3615997800989533,901.1600000000001,897.5049999999999,897.1416666666667,0.26321949498772546,1527.5,-0.3918166939443535
2003-01-07,922.9,929.0,930.8,919.9,,-0.66,-0.006566200215285312,-0.3657916437603058,909.86,898.04,899.125,0.2632213401510481,1527.5,-0.39581014729950903
2003-01-08,909.9,922.9,922.9,908.3,,-1.41,-0.014086033156354927,-0.3747251236943355,915.8799999999999,898.9349999999998,900.3683333333333,0.26354245072386884,1527.5,-0.4043207855973814
2003-01-09,927.6,909.9,928.3,909.9,,1.95,0.019452687108473476,-0.36256184716877193,919.6,900.0899999999999,901.8050000000001,0.26429004311938326,1527.5,-0.39273322422258594
2003-01-10,927.6,927.6,932.9,917.7,,0.0,0.0,-0.36256184716877193,923.4,901.2199999999999,902.5766666666666,0.26428386893336675,1527.5,-0.39273322422258594
